#Target Vertices,#Query Vertices,MSEC,STDEV
8000,3500,135.4085886,121.77068291986069
8000,4000,144.6453826,135.52829776009023
8000,4500,153.861442,150.29416288540017
8000,5000,165.7601955,163.23781664384376
8000,5500,181.66168180000003,180.9218554982008
8000,6000,196.309771,199.27357442938447
8000,6500,212.0181619,214.18269141107984
8000,7000,235.6925981,234.4429760783554
8000,7500,262.6251036,262.5643634570286
8000,8000,266.56774459999997,267.2091467268214
8000,8500,284.99499039999995,284.9398261125417
8000,9000,305.497212,302.5451216942391
8000,9500,325.0802676,317.98970400470307
8000,10000,346.69133689999995,341.07537899608246
8500,500,75.3407495,67.01731343242277
8500,1000,89.016564,81.78702595248122
8500,1500,108.1358617,103.95575872968719
8500,2000,120.7040082,124.51699271587054
8500,2500,134.6403355,137.2832553547761
8500,3000,150.23319819999998,162.436163345721
8500,3500,160.736736,174.9781582680563
8500,4000,181.65767780000002,204.25057040484248
8500,4500,195.1436561,218.48148908761317
8500,5000,217.41347190000002,250.30989680163563
8500,5500,234.8850179,265.6174974753486
8500,6000,245.5226145,276.93202240741317
8500,6500,264.03276619999997,301.2855094089387
8500,7000,286.988488,330.5203713799345
8500,7500,308.4259546,349.06405788350855
8500,8000,327.4422019,372.48095714244425
8500,8500,346.2787935,389.90482928816067
8500,9000,370.7877524,418.47683299458606
8500,9500,397.7501795,447.72896967020256
8500,10000,417.4164516,468.2844762429002
9000,500,93.35262709999999,83.39365322941856
9000,1000,123.8045843,98.06935566152552
9000,1500,148.3028961,125.62093565319402
9000,2000,169.5753268,150.9985194881656
9000,2500,189.0447473,176.5097104777871
9000,3000,208.3377408,199.16705029006093
9000,3500,238.9700356,237.6458140296553
9000,4000,262.939749,264.36551107067334
9000,4500,288.29744569999997,290.7994956102405
9000,5000,307.98075819999997,314.51690685590006
9000,5500,330.5025507,341.37687557959254
9000,6000,361.2634416,377.1805266187008
9000,6500,389.0983213,403.747319132693
9000,7000,415.674527,435.6930172300386
9000,7500,447.2471261,470.1183653875584
9000,8000,479.852961,505.9411825564874
9000,8500,503.1483456,529.3815890688495
9000,9000,540.2574212000001,565.220119498541
9000,9500,568.8955357000001,591.550340545799
9000,10000,605.5366007,632.822480705443
9500,500,119.9193352,88.61108878380378
9500,1000,143.9884048,117.30320302725116
9500,1500,163.864378,143.3958667321922
9500,2000,190.7442723,174.0001826517326
9500,2500,216.41006480000001,207.52634295088345
9500,3000,244.0259937,244.07245892417762
9500,3500,268.163536,277.44343155796116
9500,4000,288.853235,301.40030053111445
9500,4500,321.991021,348.2294745370584
9500,5000,348.3583013,377.50633918315896
9500,5500,377.0666265,417.8838300320777
9500,6000,403.2567037,446.7703529244786
9500,6500,442.0357238,489.39203039385364
9500,7000,463.3178074,519.7786310949048
9500,7500,493.043414,552.1924081516449
9500,8000,524.7382458,582.0933177715774
9500,8500,568.1686577,628.625487205416
9500,9000,594.0364539,662.7055603642373
9500,9500,635.8373964,702.0647748409267
9500,10000,673.1657646,739.8217232747762
10000,500,63.534678899999996,103.57524975539857
10000,1000,80.1665815,132.7821158950754
10000,1500,95.34575290000001,159.37135946359103
10000,2000,111.8721218,189.53363724048666
10000,2500,129.2941296,220.69911638282534
10000,3000,146.4424018,250.79892311273355
10000,3500,162.2463935,278.55411407339346
10000,4000,183.4318831,315.92718599233154
10000,4500,199.73023769999998,344.53892105402525
10000,5000,217.5653469,375.88208047360547
10000,5500,240.2435157,415.9729357590964
10000,6000,251.1353237,435.87764872138115
10000,6500,275.57239530000004,477.89143560461963
10000,7000,291.0123277,505.4100373053134
10000,7500,312.79640969999997,544.4676794555447
10000,8000,335.0281712,583.5990993618451
10000,8500,354.00980960000004,616.0985302697978
10000,9000,373.480565,648.5761343873877
10000,9500,395.3917218,686.7286633795222
10000,10000,417.7830253,725.1310886215986
